"filename", "language", "Java", "XML", "comment", "blank", "total"
"c:\Users\Philip\Desktop\UOI\AI\ask1\Botaki.class", "Java", 129, 0, 0, 0, 129
"c:\Users\Philip\Desktop\UOI\AI\ask1\Botaki20.java", "Java", 170, 0, 21, 72, 263
"c:\Users\Philip\Desktop\UOI\AI\ask1\Cube.class", "Java", 20, 0, 0, 0, 20
"c:\Users\Philip\Desktop\UOI\AI\ask1\Cube.java", "Java", 37, 0, 0, 14, 51
"c:\Users\Philip\Desktop\UOI\AI\ask1\CubeLine.class", "Java", 73, 0, 0, 0, 73
"c:\Users\Philip\Desktop\UOI\AI\ask1\CubeLine.java", "Java", 130, 0, 18, 61, 209
"c:\Users\Philip\Desktop\UOI\AI\ask1\CubeManager.class", "Java", 74, 0, 0, 0, 74
"c:\Users\Philip\Desktop\UOI\AI\ask1\CubeManager.java", "Java", 114, 0, 12, 35, 161
"c:\Users\Philip\Desktop\UOI\AI\ask1\CubeMatrix.class", "Java", 118, 0, 0, 0, 118
"c:\Users\Philip\Desktop\UOI\AI\ask1\CubeMatrix.java", "Java", 294, 0, 9, 95, 398
"c:\Users\Philip\Desktop\UOI\AI\ask1\Node.class", "Java", 75, 0, 0, 0, 75
"c:\Users\Philip\Desktop\UOI\AI\ask1\Node.java", "Java", 159, 0, 3, 47, 209
"c:\Users\Philip\Desktop\UOI\AI\ask1\Table.class", "Java", 29, 0, 0, 0, 29
"c:\Users\Philip\Desktop\UOI\AI\ask1\Table.java", "Java", 37, 0, 2, 18, 57
"c:\Users\Philip\Desktop\UOI\AI\ask1\ask1.drawio.svg", "XML", 0, 287, 0, 0, 287
"Total", "-", 1459, 287, 65, 342, 2153